Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_17,0.1u,C_0402_1005Metric,34.835,-37.775,0.0,top
C_361,0.1u,C_0402_1005Metric,52.645,-30.0,0.0,top
C_362,0.1u,C_0402_1005Metric,69.73,-30.52,90.0,top
J_TMP36_9Z1,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,66.25,-31.98,0.0,top
J_TMP36_TZ1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,47.665,-31.8075,0.0,top
J_TMP117,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical,27.105,-32.81,0.0,top
JP_ADD0,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,33.355,-28.025,-90.0,top
R_alert1,4.7k,R_0603_1608Metric,38.355,-36.525,90.0,top
R_PD1,4.7k,R_0603_1608Metric,56.915,-33.3075,90.0,top
R_SCL1,4.7k,R_0603_1608Metric,31.355,-37.025,90.0,top
R_SDA1,4.7k,R_0603_1608Metric,31.355,-33.025,90.0,top
TMP36_9Z1,TMP36GT9Z,TO92127P521H733-3,73.268702,-32.98,90.0,top
TMP36_TZ1,TMP36GRTZ-REEL7,SOT95P280X145-5N,53.165,-33.5575,0.0,top
TMP117,TMP117AIDRVR,SON65P200X200X80-7N,35.355,-34.275,90.0,top
